Grid Point,Drawing X,Drawing Y,2e:20,14:a1
1,140,220,-40,-54
2,140,220,-40,-56
3,140,220,-40,-56
4,139,220,-40,-56
5,139,220,-40,-56
6,139,220,-40,-56
7,140,220,-40,-56
8,147,222,-39,-56
9,151,229,-37,-57
10,155,236,-37,-57
11,156,237,-38,-57
12,156,237,-38,-57
13,157,237,-38,-57
14,158,236,-39,-57
15,157,237,-38,-57
16,157,238,-38,-58
17,156,239,-38,-58
18,154,241,-37,-58
19,149,240,-33,-57
20,148,244,-33,-57
21,148,244,-33,-57
22,148,244,-33,-57
23,152,246,-36,-58
24,153,255,-40,-58
25,157,262,-42,-59
26,163,267,-45,-59
27,163,268,-45,-59
28,155,271,-44,-59
29,150,277,-45,-59
30,149,279,-46,-59
31,140,276,-45,-59
32,132,276,-45,-59
33,124,274,-47,-62
34,117,272,-46,-64
35,115,270,-45,-64
36,115,271,-46,-64
37,115,271,-46,-64
38,114,271,-46,-64
39,114,271,-46,-65
40,114,271,-46,-64
41,115,271,-46,-64
42,114,270,-46,-64
43,110,272,-46,-71
44,102,270,-47,-59
45,95,266,-48,-57
46,87,262,-50,-55
47,82,256,-51,-55
48,81,248,-52,-54
49,81,246,-55,-54
50,82,245,-55,-54
51,82,245,-55,-54
52,78,245,-55,-54
53,82,240,-55,-53
54,82,233,-55,-53
55,65,235,-60,-58
56,64,237,-59,-57
57,63,234,-61,-57
58,57,229,-59,-55
59,50,226,-60,-54
60,47,224,-60,-54
61,48,224,-61,-55
62,46,222,-60,-55
63,45,214,-68,-53
64,46,209,-64,-53
65,46,209,-64,-53
66,47,210,-62,-54
67,40,208,-64,-53
68,36,201,-65,-55
69,34,194,-65,-54
70,35,194,-65,-54
71,35,194,-65,-54
72,54,212,-58,-54
73,54,211,-58,-54
74,55,205,-68,-53
75,54,202,-63,-51
76,54,202,-63,-52
77,54,202,-63,-51
78,54,202,-63,-53
79,54,202,-63,-52
80,52,202,-63,-53
81,57,206,-68,-54
82,59,215,-58,-57
83,61,223,-59,-58
84,64,231,-60,-62
85,67,239,-66,-60
86,71,247,-57,-62
87,74,255,-56,-62
