Grid Point,Drawing X,Drawing Y,2e:20,14:a1
1,140,220,-40,-54
2,140,220,-40,-56
3,140,220,-40,-56
4,139,220,-40,-56
5,139,220,-40,-56
6,140,220,-40,-56
7,140,220,-40,-56
8,140,220,-40,-56
9,140,220,-40,-56
10,143,220,-40,-56
11,149,226,-38,-56
12,154,233,-37,-57
13,156,237,-38,-57
14,156,237,-38,-57
15,159,232,-40,-57
16,167,232,-43,-59
17,174,237,-44,-59
18,174,240,-46,-58
19,171,242,-45,-58
20,168,248,-43,-60
21,167,257,-44,-59
22,163,264,-44,-59
23,155,266,-43,-59
24,152,267,-43,-60
25,152,267,-43,-60
26,153,270,-44,-61
27,156,258,-41,-59
28,154,259,-41,-58
29,157,262,-42,-60
30,155,266,-43,-59
31,154,266,-43,-59
32,176,246,-45,-60
33,174,252,-45,-59
34,171,260,-47,-59
35,166,266,-45,-60
36,159,270,-45,-59
37,151,271,-46,-63
38,148,271,-44,-59
39,149,272,-44,-60
40,129,239,-36,-56
41,126,244,-39,-59
42,120,250,-41,-60
43,114,269,-45,-64
44,106,272,-47,-66
45,101,275,-48,-58
46,100,276,-48,-58
47,99,275,-48,-58
48,94,274,-49,-58
49,87,270,-49,-57
50,84,264,-49,-55
51,83,266,-50,-55
52,83,258,-50,-55
53,79,251,-51,-54
54,76,245,-56,-54
55,76,242,-57,-53
56,80,242,-55,-53
57,82,237,-55,-53
58,82,237,-55,-53
59,86,243,-54,-57
60,86,246,-51,-57
61,80,242,-57,-53
62,76,235,-58,-53
63,74,227,-57,-52
64,73,218,-58,-51
65,72,210,-61,-50
66,73,205,-55,-49
67,76,203,-55,-49
68,76,203,-56,-49
69,76,203,-56,-49
70,76,203,-56,-49
71,71,199,-57,-48
72,70,190,-57,-47
73,70,186,-58,-46
74,73,184,-56,-46
75,72,184,-56,-46
76,72,187,-57,-46
77,72,186,-57,-46
78,73,179,-58,-44
79,73,177,-57,-44
80,72,177,-58,-44
81,72,177,-57,-44
82,72,177,-58,-44
83,72,175,-57,-43
84,71,175,-57,-43
85,74,180,-58,-45
86,74,188,-57,-46
87,73,197,-57,-48
88,73,206,-58,-49
89,73,214,-66,-51
90,76,217,-61,-51
91,76,226,-54,-52
92,76,235,-55,-53
93,76,243,-55,-54
94,76,237,-56,-53
95,77,241,-56,-53
96,76,242,-56,-53
97,76,238,-56,-53
98,77,229,-56,-52
99,76,220,-55,-51
100,75,212,-55,-50
101,74,203,-62,-49
102,71,194,-59,-48
103,71,185,-59,-46
104,70,176,-59,-44
105,69,168,-61,-41
106,70,160,-62,-38
107,74,153,-69,-33
108,261,190,-58,-62
109,264,198,-58,-61
110,267,205,-58,-63
111,272,211,-58,-63
112,276,219,-58,-62
113,279,225,-59,-62
114,274,226,-59,-63
115,272,235,-58,-62
116,275,243,-64,-64
117,280,250,-63,-67
118,286,256,-62,-67
