Grid Point,Drawing X,Drawing Y,2e:20,14:a1
1,140,220,-40,-54
2,140,220,-40,-56
3,140,220,-40,-56
4,140,220,-40,-56
5,140,220,-40,-56
6,140,220,-40,-56
7,140,220,-40,-56
8,141,220,-40,-56
9,147,224,-38,-56
10,151,231,-37,-57
11,154,237,-37,-57
12,155,239,-37,-57
13,155,239,-37,-57
14,155,239,-37,-57
15,155,239,-37,-57
16,155,239,-37,-57
17,155,239,-37,-57
18,146,240,-29,-57
19,143,242,-25,-57
20,142,243,-25,-57
21,143,243,-26,-57
22,146,244,-31,-57
23,148,252,-37,-58
24,151,260,-41,-58
25,156,267,-44,-59
26,161,270,-45,-59
27,161,273,-45,-59
28,154,277,-46,-61
29,146,277,-45,-60
30,144,277,-45,-61
31,144,278,-45,-61
32,144,261,-40,-60
33,143,262,-41,-58
34,139,269,-43,-60
35,132,270,-43,-58
36,125,271,-45,-62
37,117,272,-46,-64
38,112,274,-46,-65
39,111,274,-47,-66
40,109,271,-46,-67
41,103,274,-48,-56
42,103,274,-48,-56
43,102,272,-48,-56
44,107,269,-46,-71
45,111,262,-45,-63
46,111,258,-44,-63
47,111,259,-44,-63
48,112,258,-44,-63
49,112,258,-44,-64
50,112,258,-44,-64
51,112,258,-44,-64
52,112,258,-44,-63
53,112,258,-44,-63
54,106,257,-45,-64
55,97,257,-47,-57
56,88,257,-49,-55
57,80,255,-51,-55
58,76,248,-52,-54
59,76,239,-54,-53
60,79,233,-53,-53
61,74,230,-54,-52
62,76,226,-53,-52
63,76,226,-54,-52
64,76,228,-55,-52
65,72,228,-52,-52
66,76,221,-53,-51
67,76,213,-53,-50
68,77,213,-53,-50
69,80,212,-53,-50
70,78,204,-55,-49
71,74,198,-58,-48
72,74,195,-60,-48
73,72,193,-61,-47
74,68,197,-58,-48
75,68,197,-57,-48
76,68,197,-58,-48
77,68,197,-58,-48
78,71,196,-59,-48
79,75,189,-59,-47
80,75,183,-56,-45
81,75,182,-56,-45
82,75,182,-56,-45
83,77,199,-54,-48
84,75,198,-54,-48
85,69,193,-55,-47
86,69,188,-55,-47
87,70,181,-56,-45
88,73,179,-56,-44
89,74,179,-56,-44
90,72,179,-55,-45
91,71,177,-55,-44
92,74,172,-55,-43
93,73,168,-57,-41
94,73,169,-57,-42
95,73,169,-57,-42
96,73,169,-57,-42
97,73,169,-57,-42
98,77,168,-57,-41
99,80,160,-62,-38
100,81,157,-64,-37
101,78,159,-62,-37
102,75,167,-57,-41
103,73,176,-55,-44
104,75,184,-54,-46
105,81,189,-53,-47
106,78,188,-54,-46
107,77,190,-55,-47
108,79,192,-53,-47
109,79,195,-53,-48
110,78,203,-53,-49
111,77,212,-58,-50
112,76,221,-52,-51
113,77,229,-52,-52
114,79,238,-53,-53
115,82,246,-53,-54
116,89,251,-50,-58
117,97,252,-49,-58
118,100,252,-48,-64
119,100,252,-48,-64
120,100,252,-48,-64
121,100,252,-48,-64
122,99,250,-48,-62
123,99,250,-48,-60
124,99,250,-48,-60
125,99,250,-48,-61
126,99,250,-48,-63
127,106,250,-47,-69
128,114,253,-45,-65
129,120,257,-44,-66
130,122,259,-43,-65
131,122,259,-43,-66
132,122,259,-43,-66
133,122,258,-43,-63
134,119,258,-44,-65
135,110,261,-47,-65
136,103,264,-48,-66
137,102,265,-49,-63
138,98,259,-49,-58
139,90,257,-50,-57
140,83,252,-51,-54
141,79,245,-54,-54
142,78,236,-55,-53
143,77,227,-55,-52
144,75,219,-53,-51
145,75,210,-60,-50
146,75,202,-55,-49
147,79,194,-54,-48
148,82,190,-55,-47
149,83,190,-54,-47
150,83,190,-54,-47
151,83,190,-54,-47
152,83,190,-54,-47
153,83,190,-54,-47
154,83,190,-54,-47
155,83,190,-54,-47
156,83,190,-54,-47
157,83,192,-54,-47
