Grid Point,Drawing X,Drawing Y,2e:20,14:a1
1,68,161,-54,-39
2,68,161,-54,-39
3,71,162,-54,-39
4,76,162,-54,-39
5,75,162,-54,-39
6,77,155,-54,-35
7,76,151,-54,-31
8,76,146,-55,-21
9,76,139,-55,-28
10,76,140,-55,-26
11,70,137,-56,-32
12,65,138,-56,-35
13,68,139,-55,-32
14,63,142,-56,-35
15,63,148,-55,-36
16,64,150,-55,-36
17,63,154,-55,-37
18,64,163,-54,-40
19,65,171,-54,-43
20,64,174,-54,-44
21,64,172,-54,-43
22,71,173,-53,-43
23,76,174,-53,-43
24,72,174,-53,-43
25,76,177,-53,-44
26,76,184,-52,-46
27,76,184,-52,-46
28,74,181,-53,-45
29,73,185,-52,-46
30,67,187,-53,-46
31,64,186,-53,-46
32,64,188,-53,-47
33,63,196,-53,-48
34,63,197,-53,-48
35,64,195,-53,-48
36,70,199,-52,-48
37,76,198,-51,-48
38,75,199,-51,-48
39,77,207,-51,-50
40,76,210,-51,-50
41,76,213,-50,-50
42,75,222,-50,-51
43,75,230,-50,-52
44,76,234,-50,-53
45,76,238,-50,-53
46,76,244,-50,-54
47,76,245,-50,-54
48,73,247,-50,-54
49,66,247,-51,-54
50,64,246,-51,-54
51,63,248,-51,-54
52,62,255,-52,-55
53,63,257,-52,-55
54,63,255,-51,-55
55,68,259,-51,-55
56,74,256,-50,-55
57,77,258,-50,-55
58,77,258,-50,-55
59,78,258,-50,-55
60,85,258,-49,-55
61,85,258,-49,-55
62,89,256,-48,-55
63,89,249,-48,-54
64,88,247,-48,-54
65,88,251,-48,-54
66,94,256,-47,-55
67,97,258,-47,-55
68,101,259,-46,-55
69,100,258,-46,-55
70,100,258,-46,-55
71,106,260,-46,-55
72,111,259,-44,-55
73,112,258,-44,-55
74,110,257,-44,-55
75,113,251,-43,-55
76,112,246,-43,-54
77,112,241,-43,-54
78,112,235,-43,-53
79,112,230,-43,-53
80,112,223,-44,-52
81,112,222,-44,-52
82,112,216,-45,-52
83,112,210,-46,-51
84,111,212,-46,-51
85,117,212,-45,-52
86,123,211,-44,-52
87,124,210,-44,-52
88,130,210,-44,-52
89,136,210,-43,-53
90,139,211,-43,-53
91,146,210,-43,-53
92,149,210,-44,-54
93,157,209,-45,-54
94,160,209,-45,-54
95,165,210,-45,-55
96,171,210,-46,-55
97,173,210,-47,-55
98,181,209,-48,-55
99,184,210,-48,-56
100,183,210,-48,-56
101,186,217,-48,-56
102,185,222,-47,-56
103,185,220,-47,-56
104,182,221,-47,-56
105,175,223,-45,-56
106,172,222,-45,-55
107,166,223,-43,-55
108,161,222,-42,-55
109,158,222,-42,-55
110,151,222,-40,-54
111,147,222,-39,-54
112,140,222,-39,-54
113,136,222,-39,-54
114,133,222,-39,-53
115,126,222,-41,-53
116,125,222,-41,-53
117,124,224,-41,-53
118,123,231,-39,-54
119,123,234,-39,-54
120,124,238,-38,-54
121,124,245,-38,-55
122,124,247,-38,-55
123,124,254,-40,-55
124,124,258,-41,-55
125,124,261,-42,-56
126,124,268,-44,-56
127,124,270,-44,-56
128,121,271,-45,-56
129,114,271,-46,-56
130,112,270,-46,-56
131,106,271,-47,-56
132,101,270,-47,-56
133,100,270,-48,-56
134,92,270,-49,-56
135,89,270,-49,-56
136,81,270,-50,-56
137,77,270,-50,-56
138,70,270,-51,-56
139,65,270,-52,-56
140,66,270,-52,-56
141,63,273,-52,-56
142,63,280,-52,-56
143,64,281,-52,-56
144,63,279,-52,-56
145,67,281,-52,-56
146,74,282,-51,-56
147,76,282,-51,-56
148,79,282,-51,-56
149,86,282,-50,-56
150,91,281,-50,-56
151,99,279,-49,-56
152,107,280,-48,-56
153,112,282,-48,-57
154,114,281,-47,-57
155,121,281,-47,-57
156,124,282,-47,-57
157,132,281,-46,-57
158,136,282,-46,-57
159,133,281,-46,-57
160,134,280,-46,-57
161,136,273,-44,-57
162,136,270,-43,-57
163,136,271,-43,-57
164,144,269,-43,-57
165,148,270,-43,-57
166,146,270,-43,-57
167,150,264,-42,-57
168,149,259,-40,-56
169,148,258,-39,-56
170,148,251,-36,-56
171,148,247,-34,-56
172,147,242,-31,-55
173,147,235,-32,-55
174,148,235,-33,-55
175,148,235,-33,-55
176,152,230,-37,-55
177,160,228,-41,-55
178,168,231,-43,-56
179,172,234,-44,-56
180,175,234,-45,-56
181,182,234,-46,-57
182,184,234,-47,-57
183,183,236,-46,-57
184,185,243,-47,-57
185,185,246,-47,-57
186,183,245,-46,-57
187,176,247,-45,-57
188,172,247,-44,-57
189,173,246,-44,-57
190,171,251,-44,-57
191,172,257,-45,-57
192,172,255,-45,-57
193,172,255,-45,-57
194,179,259,-46,-57
195,184,258,-47,-58
196,183,258,-47,-58
197,181,258,-47,-57
198,185,263,-48,-58
199,185,269,-48,-58
200,184,269,-48,-58
201,181,272,-48,-58
202,174,271,-47,-58
203,172,270,-46,-58
204,165,271,-46,-57
205,160,270,-45,-57
206,161,270,-45,-57
207,159,273,-45,-57
208,159,280,-47,-58
209,159,282,-47,-58
210,159,278,-46,-58
211,157,281,-47,-58
212,151,283,-47,-58
213,148,282,-46,-57
214,153,280,-46,-58
215,161,277,-46,-58
216,170,277,-47,-58
217,172,281,-48,-58
218,176,281,-48,-58
219,182,281,-49,-58
220,184,282,-49,-58
221,184,282,-49,-58
222,184,282,-49,-58
223,184,281,-49,-58
224,184,281,-49,-58
225,184,281,-49,-58
226,184,281,-49,-58
227,184,281,-49,-58
228,184,281,-49,-58
229,184,281,-49,-58
230,184,281,-49,-58
