Grid Point,Drawing X,Drawing Y,2e:20,14:a1
1,142,244,-35,-54
2,143,244,-36,-54
3,148,238,-37,-54
4,149,234,-38,-55
5,149,234,-38,-55
6,151,227,-40,-55
7,149,222,-40,-55
8,150,220,-41,-55
9,150,213,-43,-56
10,149,212,-43,-56
11,146,209,-43,-56
12,139,209,-42,-56
13,137,210,-42,-56
14,129,210,-42,-57
15,125,210,-42,-57
16,122,210,-43,-57
17,115,210,-44,-57
18,114,210,-44,-57
19,112,213,-43,-57
20,112,220,-42,-57
21,112,222,-42,-57
22,113,221,-42,-57
23,114,223,-41,-57
24,122,223,-38,-56
25,125,222,-38,-56
26,128,222,-37,-56
27,135,222,-37,-56
28,134,223,-36,-56
29,127,228,-34,-56
30,126,234,-31,-56
31,126,234,-31,-56
32,124,235,-33,-56
33,123,235,-34,-56
34,116,236,-38,-56
35,113,234,-40,-56
36,113,234,-40,-56
37,112,239,-40,-56
38,113,245,-40,-56
39,113,243,-40,-56
40,115,245,-40,-56
41,122,247,-37,-56
42,125,246,-36,-55
43,118,249,-40,-56
44,113,255,-42,-56
45,113,257,-43,-56
46,113,258,-43,-56
47,111,259,-44,-56
48,104,260,-45,-56
49,101,258,-45,-56
50,99,258,-46,-57
51,92,258,-47,-57
52,89,258,-47,-57
53,81,259,-49,-58
54,78,258,-49,-58
55,78,258,-49,-58
56,81,257,-49,-58
57,78,256,-49,-58
58,76,249,-49,-58
59,77,246,-49,-58
60,77,244,-49,-58
61,77,237,-49,-58
62,76,239,-49,-58
63,71,246,-50,-58
64,69,248,-50,-58
65,65,245,-50,-59
66,64,246,-50,-59
67,64,246,-50,-59
68,63,250,-51,-59
69,64,256,-51,-58
70,64,258,-51,-58
71,64,264,-51,-58
72,65,270,-51,-58
73,65,270,-51,-58
74,67,271,-51,-58
75,74,271,-50,-58
76,76,270,-50,-58
77,84,270,-49,-57
78,88,270,-49,-57
79,92,270,-48,-57
80,99,270,-47,-56
81,101,270,-47,-56
82,107,270,-46,-56
83,113,270,-46,-55
84,115,270,-45,-55
85,123,270,-45,-55
86,127,270,-44,-54
87,134,270,-44,-54
88,138,270,-44,-54
89,146,269,-45,-53
90,149,269,-45,-53
91,148,269,-45,-53
92,149,262,-43,-53
93,149,258,-42,-53
94,149,266,-44,-53
95,149,272,-46,-53
96,151,272,-46,-52
97,157,269,-46,-52
98,160,270,-46,-52
99,161,271,-47,-52
100,169,272,-48,-51
101,172,270,-48,-51
102,171,270,-48,-51
103,174,264,-48,-51
104,174,258,-47,-51
105,173,256,-47,-51
106,173,249,-46,-52
107,173,246,-46,-52
108,173,243,-46,-52
109,173,236,-46,-53
110,173,231,-46,-53
111,173,224,-46,-54
112,173,222,-46,-54
113,171,215,-46,-55
114,173,210,-47,-55
115,172,209,-47,-55
116,165,210,-46,-55
117,162,210,-45,-55
118,170,211,-47,-55
119,179,212,-48,-54
120,185,211,-49,-54
121,184,211,-49,-54
122,183,210,-49,-54
123,184,210,-49,-54
124,183,211,-49,-54
125,182,212,-48,-54
126,185,216,-49,-54
127,185,221,-48,-54
128,185,226,-48,-53
129,185,232,-48,-53
130,185,235,-48,-52
131,185,242,-48,-52
132,185,246,-48,-51
133,186,253,-49,-51
134,185,257,-49,-50
135,185,262,-49,-50
136,185,268,-49,-49
137,185,272,-50,-49
138,185,278,-50,-48
139,186,281,-50,-48
140,186,281,-50,-48
141,183,283,-50,-48
142,176,283,-50,-49
143,173,282,-49,-50
144,168,282,-49,-50
145,162,282,-48,-51
146,160,282,-48,-51
147,153,282,-48,-52
148,149,282,-47,-52
149,146,282,-47,-53
150,139,282,-47,-53
151,137,282,-47,-53
152,130,283,-47,-54
153,126,282,-47,-54
154,119,282,-47,-55
155,113,282,-48,-55
156,112,282,-48,-55
157,104,281,-48,-56
158,96,281,-49,-56
159,90,282,-50,-57
160,89,282,-50,-57
161,82,282,-50,-57
162,77,281,-51,-57
163,74,281,-51,-58
164,67,282,-52,-58
165,67,282,-52,-58
166,67,276,-51,-58
167,71,268,-50,-58
168,74,260,-50,-58
169,75,251,-49,-58
170,76,243,-49,-58
171,76,234,-49,-58
172,76,226,-49,-58
173,75,217,-49,-59
174,76,211,-49,-59
175,76,209,-50,-59
176,75,201,-50,-59
177,76,198,-50,-59
178,77,196,-50,-59
179,78,189,-51,-59
180,77,187,-51,-59
181,79,181,-51,-60
182,78,175,-52,-60
183,77,173,-52,-60
184,77,165,-53,-60
185,75,163,-53,-60
186,75,154,-54,-60
187,77,150,-54,-60
188,77,147,-54,-61
189,77,140,-55,-61
190,76,140,-55,-61
191,72,138,-55,-61
192,66,138,-55,-61
193,67,138,-55,-61
194,63,143,-55,-61
195,64,149,-55,-61
196,65,150,-54,-61
197,66,156,-54,-61
198,66,161,-54,-61
199,66,163,-54,-60
200,66,170,-53,-60
201,65,173,-53,-60
202,65,180,-52,-60
203,65,186,-52,-60
204,65,191,-52,-60
205,65,197,-51,-60
206,65,197,-51,-60
207,65,197,-51,-60
208,65,197,-51,-60
209,66,198,-51,-60
210,66,198,-51,-60
211,66,198,-51,-60
212,66,198,-51,-60
213,66,198,-51,-60
214,66,198,-51,-60
215,66,198,-51,-60
216,66,197,-51,-60
217,66,197,-51,-60
