Grid Point,Drawing X,Drawing Y,2e:20,14:a1
1,114,291,-49,-55
2,115,291,-49,-55
3,117,286,-48,-55
4,114,283,-48,-55
5,113,280,-47,-55
6,113,273,-46,-55
7,113,271,-46,-55
8,112,263,-44,-56
9,112,259,-43,-56
10,113,254,-42,-56
11,113,248,-41,-56
12,113,245,-40,-56
13,113,238,-40,-56
14,113,234,-40,-56
15,114,227,-40,-57
16,113,223,-41,-57
17,113,219,-42,-57
18,113,212,-43,-57
19,112,214,-43,-57
20,114,211,-44,-57
21,121,209,-43,-57
22,125,211,-42,-57
23,126,211,-42,-57
24,134,212,-41,-56
25,137,211,-42,-56
26,144,210,-43,-56
27,149,211,-43,-56
28,152,211,-44,-56
29,159,211,-45,-55
30,163,211,-45,-55
31,170,211,-47,-55
32,173,211,-47,-55
33,180,211,-48,-54
34,185,211,-49,-54
35,186,212,-49,-54
36,187,219,-49,-54
37,185,223,-48,-53
38,186,222,-48,-53
39,182,225,-48,-53
40,175,224,-46,-54
41,173,223,-46,-54
42,165,224,-44,-54
43,161,223,-43,-55
44,158,223,-43,-55
45,151,223,-41,-55
46,149,223,-40,-55
47,141,223,-37,-55
48,137,223,-36,-56
49,135,224,-35,-56
50,128,224,-36,-56
51,125,223,-37,-56
52,125,224,-37,-56
53,123,231,-35,-56
54,124,235,-33,-56
55,124,238,-33,-56
56,125,245,-35,-55
57,125,247,-36,-55
58,129,249,-36,-55
59,138,248,-36,-54
60,145,247,-38,-54
61,149,246,-39,-54
62,149,245,-39,-54
63,150,239,-38,-54
64,149,236,-38,-54
65,149,236,-38,-54
66,153,230,-40,-55
67,160,228,-43,-54
68,168,231,-45,-54
69,173,234,-46,-53
70,173,235,-46,-53
71,181,236,-47,-53
72,184,235,-48,-52
73,183,235,-48,-53
74,186,242,-48,-52
75,185,247,-48,-51
76,185,247,-48,-51
77,182,244,-48,-52
78,178,242,-47,-52
79,174,242,-46,-52
80,172,247,-46,-52
81,172,247,-46,-52
82,173,247,-46,-52
83,172,250,-46,-52
84,172,257,-47,-51
85,173,258,-47,-51
86,177,259,-48,-51
87,183,259,-48,-50
88,185,259,-49,-50
89,183,259,-48,-50
90,186,262,-49,-50
91,186,269,-50,-49
92,186,271,-50,-49
93,185,270,-49,-49
94,179,273,-49,-50
95,174,272,-48,-50
96,172,271,-48,-50
97,165,272,-47,-51
98,161,271,-47,-52
99,157,271,-46,-52
100,151,271,-45,-52
101,150,271,-45,-53
102,148,268,-45,-53
103,147,261,-43,-53
104,149,259,-43,-53
105,149,261,-43,-53
106,149,267,-44,-53
107,144,270,-45,-53
108,138,272,-45,-54
109,137,272,-45,-54
110,136,273,-45,-54
111,134,274,-45,-54
112,127,273,-45,-54
113,125,272,-45,-55
114,126,272,-45,-54
115,123,279,-46,-55
116,124,283,-47,-54
117,124,281,-47,-54
118,129,284,-47,-54
119,136,284,-47,-53
120,138,284,-47,-53
121,146,284,-48,-52
122,148,283,-47,-52
123,152,283,-48,-52
124,159,283,-48,-51
125,161,283,-48,-51
126,169,283,-49,-50
127,173,283,-49,-50
128,177,282,-50,-49
129,183,282,-50,-48
130,185,283,-51,-48
131,178,282,-50,-49
132,169,281,-49,-50
133,161,280,-48,-51
134,152,281,-47,-52
135,143,281,-47,-53
136,134,281,-47,-54
137,126,279,-46,-54
138,119,274,-46,-55
139,111,270,-46,-56
140,103,269,-47,-56
141,102,269,-47,-56
142,100,272,-47,-56
143,101,271,-47,-56
144,102,271,-47,-56
145,100,268,-47,-56
146,100,261,-46,-56
147,101,259,-46,-56
148,100,259,-46,-56
149,93,257,-47,-57
150,89,259,-48,-57
151,88,259,-48,-57
152,80,259,-49,-58
153,77,259,-49,-58
154,78,259,-49,-58
155,75,252,-49,-58
156,76,247,-49,-58
157,77,246,-49,-58
158,76,238,-49,-58
159,77,235,-49,-58
160,77,238,-49,-58
161,71,241,-49,-58
162,67,246,-50,-58
163,65,247,-50,-59
164,63,253,-51,-59
165,65,258,-51,-58
166,65,258,-51,-58
167,66,265,-51,-58
168,66,270,-51,-58
169,65,270,-51,-58
170,65,270,-51,-58
171,71,273,-51,-58
172,76,272,-50,-58
173,77,272,-50,-58
174,84,272,-49,-57
175,89,271,-49,-57
176,88,271,-49,-57
177,91,274,-49,-57
178,91,281,-49,-57
179,90,283,-50,-57
180,89,282,-50,-57
181,82,285,-51,-57
182,77,283,-51,-57
183,73,283,-51,-58
184,66,283,-52,-58
185,68,282,-52,-58
186,70,280,-51,-58
187,71,272,-51,-58
188,73,264,-50,-58
189,74,255,-49,-58
190,75,247,-49,-58
191,76,238,-49,-58
192,75,230,-49,-58
193,75,221,-49,-59
194,75,214,-49,-59
195,76,211,-49,-59
196,78,208,-49,-59
197,78,201,-50,-59
198,77,199,-50,-59
199,77,194,-50,-59
200,77,188,-51,-59
201,77,187,-51,-59
202,77,179,-52,-60
203,77,175,-52,-60
204,78,170,-52,-60
