Grid Point,Drawing X,Drawing Y,2e:20,14:a1
205,77,164,-53,-60
206,76,162,-53,-60
207,76,154,-54,-60
208,76,151,-54,-60
209,77,148,-54,-61
210,77,141,-54,-61
211,77,141,-54,-61
212,73,139,-55,-61
213,66,138,-55,-61
214,65,138,-55,-61
215,66,138,-55,-61
216,63,145,-55,-61
217,65,150,-54,-61
218,65,152,-54,-61
219,65,159,-54,-61
220,65,163,-54,-60
221,65,170,-53,-60
222,65,175,-53,-60
223,66,182,-52,-60
224,65,186,-52,-60
225,65,191,-52,-60
226,65,197,-51,-60
227,65,199,-51,-60
228,65,199,-51,-60
229,65,199,-51,-60
230,65,199,-51,-60
231,65,199,-51,-60
232,65,199,-51,-60
233,65,199,-51,-60
234,65,199,-51,-60
235,65,199,-51,-60
